luminex_name,gene_symbol,log2FC_lx,p_value_lx,p_adj_lx,logFC_soma,P.Value_soma,AptName_soma,in_soma,dir_lx,dir_soma,concordant,sig_lx,sig_soma
NGFb,NGF,-0.09312944613714785,0.32679956766896595,0.6247638793671408,-0.27430992058266723,0.06398907118181824,seq.5801.72,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
MIP-3a(CCL20),CCL20,-0.14819498345167256,0.13594673509151764,0.5256039443123283,-0.05328592285924303,0.5615563673650061,seq.2468.62,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
I-TAC(CXCL11),CXCL11,0.049084184400242065,0.45612585171352166,0.7412045090344727,-0.09575568538573599,0.23965426375605048,seq.18171.25,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,FALSE
TRAIL,TNFSF10,0.05919214097567692,0.32679956766896595,0.6247638793671408,-0.0024175131153637134,0.9787276030130043,seq.8833.20,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,FALSE
Fractalkine(CX3CL1),CX3CL1,-0.07024034656495316,0.09100092345331216,0.45840265072995556,-0.1540550790183036,0.29489799670860783,seq.2827.23,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
GROa(CXCL1),CXCL1,-0.10007003242427646,0.18217012437297958,0.538229912920167,0.046944372972694284,0.7143319851923486,seq.2985.35,TRUE,Ven > Art,Art > Ven,FALSE,FALSE,FALSE
IL-1a,IL1A,-0.10349907307753788,0.5049031767231309,0.8004562557805734,-0.021617403269291742,0.762455904778216,seq.4851.25,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IL-23,IL23A,-0.1261691232516947,0.16981050508552142,0.5256039443123283,NA,NA,NA,FALSE,Ven > Art,NA,FALSE,FALSE,NA
MMP-1,MMP1,-0.059545624049993785,0.32679956766896595,0.6247638793671408,-0.2602973575798181,0.24974752676051953,seq.4924.32,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IL-15,IL15,-0.1495677762192779,0.1467076420661994,0.5256039443123283,-0.1592250807439292,0.14181925728878095,seq.19568.17,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
IL-18,IL18,0.05564487609057284,0.9687124153929956,0.9994651904848368,-0.1406736837345966,0.1753707189069636,seq.5661.15,TRUE,Art > Ven,Ven > Art,FALSE,FALSE,FALSE
M-CSF,CSF1,-0.13209530196023017,0.14655224568852065,0.5256039443123283,-0.15274873643886036,0.12595576081198787,seq.3738.54,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
MCP-3(CCL7),CCL7,-0.16469809303570937,0.24751248135432208,0.6187812033858052,-0.08789639679333,0.15688554190417123,seq.4886.3,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
MIG(CXCL9),CXCL9,-0.05217650494966882,0.22383716469226875,0.5824399986303919,-0.22159946564916977,0.27440340573493693,seq.9188.119,TRUE,Ven > Art,Ven > Art,TRUE,FALSE,FALSE
