AptName,PC1,PC2,PC3,PC4,Target,EntrezGeneSymbol
seq.5384.67,0.019987046662083213,0.004670914903581197,-0.006326452717462729,-0.0061223622259940725,BRF-1,BRF1
seq.4292.5,0.019986924972900055,-0.006757069967556509,-8.432428581222623e-4,0.0111453117092095,SNAA,NAPA
seq.19240.265,0.019983185729050466,-0.00741805078719627,-0.004712819980390471,0.009735730258275132,HAP28,PDAP1
seq.4706.17,0.019982537656325995,-0.0032008292218454835,-0.004551713400446133,0.012124810411912507,41,EPB41
seq.12414.31,0.01998135924433705,-0.010457342281748116,0.001889862389948775,0.006147658167783995,14-3-3 protein beta/alpha,YWHAB
seq.2846.24,0.01997853131659568,-6.989321254767517e-5,-0.0075645467092360676,0.008970981003901287,Ubiquitin+1,RPS27A
seq.17799.9,0.01997739643362549,-0.0032547293891241154,-0.003386540893606153,0.011344844398420794,6PGL,PGLS
seq.3326.58,-0.019975545403850187,-0.002543817813429375,-0.006682739569612284,-0.0012823101444554776,Nectin-like protein 2,CADM1
seq.13992.12,0.019974486432427906,-8.378156093408244e-4,-0.004888894172911282,0.014920746156752509,NSF,NSF
seq.11382.5,0.019973938565952958,-0.0016214628393968423,-0.006227169835226986,0.011041838512589974,BIEA,BLVRA
seq.9297.12,-0.01997266002010092,-0.002550644398164994,-0.004422546266194045,0.002560336255621592,B3GN8,B3GNT8
seq.21834.8,0.019972056569850464,0.006060166024088723,-0.007877625365653658,0.005419244984124147,SNF8,SNF8
seq.9259.35,-0.019969711525899773,-0.0034092464694372906,-0.0011328124845835612,-0.004927297800111828,DR6,TNFRSF21
seq.8041.5,-0.01996834516494002,-0.0015366462413955438,9.553871172922951e-5,-0.007841316860436058,Fc_MOUSE,
seq.8481.44,0.019964790103126427,9.991837536882176e-4,1.1854561999249819e-4,0.001075401968729772,MDH_THETH,mdh
seq.3073.51,-0.019963074114199342,-0.003298641557048684,0.002045999364799957,-0.007299183303978704,IL-18 BPa,IL18BP
seq.16863.47,0.019951324639142305,0.005725411998606167,-0.008321975482708553,-0.003766522547450571,NANP,NANP
seq.4203.50,0.0199452166403406,-0.005104481213571424,0.006273733287314043,0.007098440694662145,Cofilin-1,CFL1
seq.5721.1,0.019939223778484703,-0.00954760503592027,-0.006470599588922947,4.636465888048347e-4,CD226,CD226
