AptName,Target,EntrezGeneSymbol,ColCheck,UniProt
seq.2805.6,ACE2,ACE2,PASS,Q9BYF1
seq.10980.11,ACES,ACHE,PASS,P22303
seq.15553.22,ACES,ACHE,PASS,P22303
seq.21231.3,ACHA5,CHRNA5,PASS,P30532
seq.20547.5,ACHB3,CHRNB3,PASS,Q05901
seq.12700.9,ACLY,ACLY,PASS,P53396
seq.23601.43,ACO12,ACOT12,PASS,Q8WYK0
seq.17675.17,ACO13,ACOT13,PASS,Q9NPJ3
seq.17400.71,ACOT8,ACOT8,PASS,O14734
seq.21552.9,ACOX1,ACOX1,PASS,Q15067
seq.6079.59,ACPL2,PXYLP1,PASS,Q8TE99
seq.25094.9,ACSA,ACSS2,PASS,Q9NR19
seq.17466.72,ACSF2,ACSF2,PASS,Q96CM8
seq.23692.19,ACSS3,ACSS3,PASS,Q9H6R3
seq.4890.10,ACTH,POMC,PASS,P01189
seq.9843.5,ACTN1,ACTN1,PASS,P12814
seq.9844.138,ACTN2,ACTN2,PASS,P35609
seq.25057.2,ACTN4,ACTN4,PASS,O43707
seq.18187.16,ACY2,ASPA,PASS,P45381
seq.21781.9,ACY3,ACY3,PASS,Q96HD9
seq.20370.6,ACYP1,ACYP1,PASS,P07311
seq.12812.25,ACYP2,ACYP2,PASS,P14621
seq.19751.21,ADA,ADA,PASS,P00813
seq.6586.19,ADA11,ADAM11,PASS,O75078
seq.15455.40,ADA15,ADAM15,PASS,Q13444
seq.9956.7,ADA15,ADAM15,PASS,Q13444
seq.8948.13,ADA19,ADAM19,PASS,Q9H013
seq.7933.75,ADA22,ADAM22,PASS,Q9P0K1
seq.13549.15,ADA29,ADAM29,PASS,Q9UKF5
seq.8520.8,ADA30,ADAM30,PASS,Q9UKF2
seq.7827.20,ADA32,ADAM32,PASS,Q8TC27
seq.8405.108,ADAM 10,ADAM10,PASS,O14672
seq.8654.13,ADAM 10,ADAM10,PASS,O14672
seq.8882.1,ADAM 17,ADAM17,PASS,P78536
seq.8959.61,ADAM 17,ADAM17,PASS,P78536
seq.7049.2,ADAM 23,ADAM23,PASS,O75077
seq.21681.10,ADAM 28,ADAM28,PASS,Q9UKQ2
seq.3795.6,ADAM 9,ADAM9,PASS,Q13443
seq.21440.9,ADAM-8,ADAM8,PASS,P78325
seq.4420.7,ADAM12,ADAM12,PASS,O43184
seq.10753.31,ADAM7,ADAM7,PASS,Q9H2U9
seq.2809.25,ADAMTS-4,ADAMTS4,PASS,O75173
seq.3168.8,ADAMTS-5,ADAMTS5,PASS,Q9UNA0
seq.22363.31,ADAT1,ADAT1,PASS,Q9BUB4
seq.20955.20,ADAT2,ADAT2,PASS,Q7Z6V5
seq.9794.17,ADCK4,COQ8B,PASS,Q96D53
seq.24468.36,ADDB,ADD2,PASS,P35612
seq.9115.78,ADEC1,ADAMDEC1,PASS,O15204
seq.17396.23,ADH1A,ADH1A,PASS,P07327
seq.9834.62,ADH1B,ADH1B,PASS,P00325
seq.15525.294,ADH1G,ADH1C,PASS,P00326
seq.8325.37,ADH4,ADH4,PASS,P08319
seq.18206.18,ADH6,ADH6,PASS,P28332
seq.11377.19,ADH7,ADH7,PASS,P40394
seq.11369.23,ADHX,ADH5,PASS,P11766
seq.19207.119,ADK,ADK,PASS,P55263
seq.8100.15,ADM2,ADM2,PASS,Q7Z4H4
seq.6221.1,ADPGK,ADPGK,PASS,Q9BRR6
seq.17320.19,ADPPT,AASDHPPT,PASS,Q9NRN7
seq.18395.5,ADPRH,ADPRH,PASS,P54922
seq.9057.19,ADRM1,ADRM1,PASS,Q16186
seq.12684.5,ADSV,SCIN,PASS,Q9Y6U3
seq.11231.12,ADXL,FDX2,PASS,Q6P4F2
seq.18396.10,AES,TLE5,PASS,Q08117
seq.9889.42,AF1L1,AFAP1L1,PASS,Q8TED9
seq.24445.38,AF1L2,AFAP1L2,PASS,Q8N4X5
seq.5792.8,AFP,AFP,PASS,P02771
seq.14291.53,AGAP2,AGAP2,PASS,Q99490
seq.13960.15,AGAP3,AGAP3,PASS,Q96P47
seq.23597.11,AGFG2,AGFG2,PASS,O95081
seq.8051.10,AGGF1,AGGF1,PASS,Q8N302
seq.11651.24,AGO1,AGO1,PASS,Q9UL18
seq.15312.14,AGO1,AGO1,PASS,Q9UL18
