AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast
seq.18329.4,-0.2164866707435945,-0.13216676606549763,-0.5050556592586292,0.6216653224434349,0.9987520320773822,-4.692765930136123,PRPS2,PRPS2,Spine_vs_HeadNeck
seq.12537.88,-0.11806429726338181,0.08942967040913723,-0.5046821897553382,0.6219207472136039,0.9987520320773822,-4.692810206203361,PURA,PURA,Spine_vs_HeadNeck
seq.23767.1,-0.0966018801565693,0.11213675879241751,-0.5046257492257192,0.6219593526640568,0.9987520320773822,-4.692816894756925,CK049,C11orf49,Spine_vs_HeadNeck
seq.15383.200,0.09412541949055483,-0.07143777769853947,0.5046107641556521,0.6219696026807546,0.9987520320773822,-4.6928186704634705,Endothelin 3,EDN3,Spine_vs_HeadNeck
seq.24951.3,0.15005789654092044,-0.15845552796657922,0.5044436188259082,0.6220839381761835,0.9987520320773822,-4.692838473575285,VAC14,VAC14,Spine_vs_HeadNeck
seq.7870.8,0.0651115421965324,-0.10706284141903295,0.5044433428006598,0.6220841269992194,0.9987520320773822,-4.6928385062732465,CNDP1,CNDP1,Spine_vs_HeadNeck
seq.19369.17,0.060382316146900164,-0.07628192154624425,0.5041354820364217,0.6222947452910255,0.9987520320773822,-4.692874965064965,GCNL2,KAT2A,Spine_vs_HeadNeck
seq.8368.102,0.0682950977847808,-0.09184540400351082,0.50395267826703,0.6224198240377212,0.9987520320773822,-4.69289660398732,TNF sR-II,TNFRSF1B,Spine_vs_HeadNeck
seq.15405.23,-0.07440427261245804,0.016607153688893355,-0.5038552945625852,0.622486461276299,0.9987520320773822,-4.692908128537272,IFNA4,IFNA4,Spine_vs_HeadNeck
seq.4132.27,-0.12158592401543951,0.091822654977189,-0.5035913632865848,0.6226670801920094,0.9987520320773822,-4.692939352141132,FST,FST,Spine_vs_HeadNeck
seq.14633.26,-0.0812215718814829,0.10325774312040019,-0.503525874004033,0.622711901093685,0.9987520320773822,-4.692947097288499,T185A,TMEM185A,Spine_vs_HeadNeck
seq.18918.86,-0.051190511902929094,-0.005964474655283085,-0.5034804935795416,0.6227429603956498,0.9987520320773822,-4.6929524636920465,PDE4A,PDE4A,Spine_vs_HeadNeck
seq.2864.2,0.08119145877366507,-0.039999606739645456,0.5031429792862092,0.6229739856372203,0.9987520320773822,-4.692992361827236,MEK1,MAP2K1,Spine_vs_HeadNeck
seq.20932.10,-0.08585879500738096,0.03481539642765178,-0.5030283354745891,0.6230524676208918,0.9987520320773822,-4.693005908376978,CCD69,CCDC69,Spine_vs_HeadNeck
seq.12690.33,0.09939363214754805,-0.07643881008040676,0.5029499307582258,0.6231061440697128,0.9987520320773822,-4.693015171179058,SEP10,SEPTIN10,Spine_vs_HeadNeck
seq.12581.39,-0.07700531154586512,0.05374278709051176,-0.5024549937021355,0.6234450331388988,0.9987520320773822,-4.693073612329562,IMPA2,IMPA2,Spine_vs_HeadNeck
seq.25446.34,0.30521559961635136,-0.5866293066447849,0.5021952410793977,0.623622924296815,0.9987520320773822,-4.6931042618652805,DDI2,DDI2,Spine_vs_HeadNeck
seq.18197.97,0.06810235046357897,-0.0416452758715673,0.5021674756440333,0.6236419408574281,0.9987520320773822,-4.6931075371740345,KCRS,CKMT2,Spine_vs_HeadNeck
seq.13491.40,-0.08111198660023007,0.035140224351631076,-0.5021142803078076,0.6236783751507966,0.9987520320773822,-4.693113811810797,PDE6D,PDE6D,Spine_vs_HeadNeck
seq.2247.20,-0.04799094969229803,-0.018213448339060207,-0.5020537624953345,0.623719825967014,0.9987520320773822,-4.693120949412018,EG-VEGF,PROK1,Spine_vs_HeadNeck
seq.9234.8,-0.06668378796643476,0.055172565203631375,-0.5020290215237017,0.6237367723266016,0.9987520320773822,-4.693123867183924,TWSG1,TWSG1,Spine_vs_HeadNeck
seq.15644.1,-0.10773704373390297,-0.18001068147302238,-0.501942769134424,0.623795852744436,0.9987520320773822,-4.693134038117974,Biotinidase,BTD,Spine_vs_HeadNeck
seq.17739.1,-0.20615574224380512,0.31433305288714114,-0.5018193812874288,0.6238803745765867,0.9987520320773822,-4.69314858524738,HCDH,HADH,Spine_vs_HeadNeck
seq.23678.132,-0.06860133016656492,0.013316221609694182,-0.5017096878581151,0.6239555202379473,0.9987520320773822,-4.693161515030423,SOX10,SOX10,Spine_vs_HeadNeck
seq.8756.41,-0.05074991936276901,-0.038152180374914156,-0.5015255728620993,0.624081658316016,0.9987520320773822,-4.693183211091338,KCE1L,KCNE5,Spine_vs_HeadNeck
seq.5988.49,-0.11195123276733777,0.1877154500533469,-0.5013631093728654,0.6241929730421819,0.9987520320773822,-4.693202349560874,LIGHT,TNFSF14,Spine_vs_HeadNeck
seq.9730.22,0.1064203812662004,0.05203210008032233,0.5013494812645835,0.6242023110157053,0.9987520320773822,-4.693203954711156,GHDC,GHDC,Spine_vs_HeadNeck
seq.13438.115,0.05958180351907966,-0.04739403376375181,0.5011066183400947,0.6243687318606833,0.9987520320773822,-4.6932325528292855,CHRD,CHRD,Spine_vs_HeadNeck
seq.24954.83,0.11209617624004381,0.007340869330590305,0.500926163833981,0.6244924014183204,0.9987520320773822,-4.69325379370624,AP1B1,AP1B1,Spine_vs_HeadNeck
seq.4276.10,-0.20203257903404492,0.09283575475919974,-0.5007190720047335,0.624634340663599,0.9987520320773822,-4.693278161183755,prostatic binding protein,PEBP1,Spine_vs_HeadNeck
seq.5936.53,0.056413678834355004,-0.07184869204425508,0.500702701425393,0.6246455616025752,0.9987520320773822,-4.693280087027474,TNF-a,TNF,Spine_vs_HeadNeck
seq.21533.51,0.25895940598104594,0.07858433960161297,0.5006777297341058,0.6246626782162548,0.9987520320773822,-4.693283024597191,LSP1,LSP1,Spine_vs_HeadNeck
seq.5764.4,0.08846234578272924,-0.09859897156700621,0.5003700799790919,0.6248735723951375,0.9987520320773822,-4.6933192040392395,GALT2,GALNT2,Spine_vs_HeadNeck
seq.24674.22,0.20770374366181854,0.09383711301192414,0.5003522553268848,0.6248857922594171,0.9987520320773822,-4.693321299571132,EGLN2,EGLN2,Spine_vs_HeadNeck
seq.23323.25,0.09441053326066812,-0.06245130121334549,0.5002528149267144,0.6249539667051891,0.9987520320773822,-4.693332988870293,DUPD1,DUPD1,Spine_vs_HeadNeck
seq.13573.5,-0.12370356515018605,0.18948892672436365,-0.500229392766436,0.6249700250129157,0.9987520320773822,-4.693335741847908,p21-ARC,ARPC3,Spine_vs_HeadNeck
seq.11284.24,-0.0785014961796457,0.05611018411024767,-0.4999493459086607,0.6251620413973573,0.9987520320773822,-4.6933686484624975,LAIR1,LAIR1,Spine_vs_HeadNeck
seq.16792.4,0.0888357434366104,-0.027352731767070537,0.4996493009267164,0.625367801118715,0.9987520320773822,-4.693403885808568,Siglec-5,SIGLEC5,Spine_vs_HeadNeck
