pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,KEGG,4,17,1136,7481,1.7209662450019247,0.2514590871775449,0.7031541141446163,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_BLADDER_CANCER,KEGG,9,46,1136,7481,1.3614070877320712,0.2568590865208659,0.7042047256038553,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_NOTCH_SIGNALING,Hallmark,5,23,1136,7481,1.5538238826115107,0.2642528581638587,0.7042047256038553,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_DNA_REPLICATION,KEGG,3,12,1136,7481,1.8638519213235372,0.2704892323511497,0.7042047256038553,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,KEGG,3,12,1136,7481,1.8638519213235372,0.2704892323511497,0.7042047256038553,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_ANGIOGENESIS,Hallmark,8,41,1136,7481,1.3564808381662843,0.2774836672511938,0.7101700636428857,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG,16,91,1136,7481,1.1942335761319984,0.3018548708822561,0.7596680917203446,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_GALACTOSE_METABOLISM,KEGG,4,19,1136,7481,1.4910709344377233,0.3242485175624662,0.789702034708587,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_O_GLYCAN_BIOSYNTHESIS,KEGG,4,19,1136,7481,1.4910709344377233,0.3242485175624662,0.789702034708587,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,KEGG,6,32,1136,7481,1.2904206057922707,0.3567138435233649,0.841621724562939,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_VIRAL_MYOCARDITIS,KEGG,6,32,1136,7481,1.2904206057922707,0.3567138435233649,0.841621724562939,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG,22,133,1136,7481,1.1091428722460441,0.3661013372370722,0.8504815680430448,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_HEDGEHOG_SIGNALING,Hallmark,6,34,1136,7481,1.1978637743893117,0.4146747655819826,0.9487256000436268,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ENDOMETRIAL_CANCER,KEGG,8,47,1136,7481,1.1467007537207319,0.4231044864153507,0.9527771600842903,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_P53_PATHWAY,Hallmark,19,118,1136,7481,1.0731736776892065,0.4290652111637863,0.9527771600842903,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_GLYCOLYSIS,Hallmark,23,145,1136,7481,1.0540804585556267,0.4450077841869926,0.9738576146700852,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_GLIOMA,KEGG,8,49,1136,7481,1.090480796909894,0.47205273771851003,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_DORSO_VENTRAL_AXIS_FORMATION,KEGG,3,17,1136,7481,1.1973403160575629,0.4890844231760757,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_HISTIDINE_METABOLISM,KEGG,3,17,1136,7481,1.1973403160575629,0.4890844231760757,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,KEGG,4,25,1136,7481,1.064114559091746,0.5394893898735488,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_WNT_SIGNALING_PATHWAY,KEGG,14,92,1136,7481,1.0025363692045142,0.5415782266667684,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_UV_RESPONSE_UP,Hallmark,16,107,1136,7481,0.9817907298640782,0.5686924329353292,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG,4,26,1136,7481,1.0155788121843004,0.5721895114130199,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_BASE_EXCISION_REPAIR,KEGG,3,20,1136,7481,0.9856197798400648,0.6043233126638089,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,KEGG,3,20,1136,7481,0.9856197798400648,0.6043233126638089,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_PROSTATE_CANCER,KEGG,11,76,1136,7481,0.9446799165195652,0.6181932909982712,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
