pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
HALLMARK_APICAL_JUNCTION,Hallmark,30,151,991,7481,1.6430390745078385,0.013784849412813981,0.2358740899525948,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG,8,26,991,7481,2.925592314700846,0.015968111182364502,0.24590891220841335,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,KEGG,5,13,991,7481,4.1079730529387986,0.020759193061840493,0.2906287028657669,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
HALLMARK_ADIPOGENESIS,Hallmark,24,122,991,7481,1.6186778697069675,0.028657684294702657,0.3677736151153508,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_SULFUR_METABOLISM,KEGG,4,10,991,7481,4.378547658650373,0.03321951195596814,0.39352344932454564,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_TGF_BETA_SIGNALING_PATHWAY,KEGG,17,82,991,7481,1.7250847058440442,0.038159158239117655,0.4197507406302942,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_LYSOSOME,KEGG,15,71,991,7481,1.7656047072962615,0.04273358386769483,0.4244847404570098,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG,4,11,991,7481,3.751962487591045,0.046858705115384196,0.4244847404570098,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_OTHER_GLYCAN_DEGRADATION,KEGG,4,11,991,7481,3.751962487591045,0.046858705115384196,0.4244847404570098,Arterial,Laparoscopic_vs_HeadNeck,down,614,Arterial · Laparoscopic / Head-Neck · higher in 2nd
KEGG_SPLICEOSOME,KEGG,27,65,1168,7481,3.9065971970871916,4.414741934705093e-7,6.931144837486996e-5,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,14,31,1168,7481,4.49188488810534,9.132779312259805e-5,0.006867134458909673,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
HALLMARK_HEME_METABOLISM,Hallmark,30,98,1168,7481,2.420643126577833,1.3121912978808291e-4,0.006867134458909673,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,KEGG,6,11,1168,7481,6.511721458933394,0.003254102453440326,0.1277235212975328,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,13,39,1168,7481,2.721022838935881,0.0046875893999680195,0.1471903071589958,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,16,54,1168,7481,2.293166452507472,0.006667652840053197,0.17447024931472532,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
HALLMARK_MYC_TARGETS_V1,Hallmark,30,125,1168,7481,1.7253118348933292,0.008962959412167024,0.20102637538717466,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_PRION_DISEASES,KEGG,12,39,1168,7481,2.416301645187206,0.01296336065246994,0.25440595280472256,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,65,324,1168,7481,1.3773980526693885,0.01685581127317179,0.2621823882914235,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_PYRUVATE_METABOLISM,KEGG,11,36,1168,7481,2.3909814285365134,0.017959010089229937,0.2621823882914235,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_MAPK_SIGNALING_PATHWAY,KEGG,41,191,1168,7481,1.494629086215153,0.01836946669557744,0.2621823882914235,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,7,20,1168,7481,2.9213077528197227,0.02669592353649313,0.333306026886938,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_ENDOCYTOSIS,KEGG,28,125,1168,7481,1.5738412513798568,0.027598588213568115,0.333306026886938,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_MELANOMA,KEGG,18,74,1168,7481,1.7486915011273694,0.033015899704834935,0.3702497324042203,Arterial,Laparoscopic_vs_HeadNeck,up,784,Arterial · Laparoscopic / Head-Neck · higher in 1st
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,KEGG,7,28,737,7481,3.06895204199082,0.016405876461674938,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_MITOTIC_SPINDLE,Hallmark,13,72,737,7481,2.0342461310157414,0.02218925426972424,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
HALLMARK_PROTEIN_SECRETION,Hallmark,11,59,737,7481,2.1133569492257482,0.027281471630163315,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_FATTY_ACID_METABOLISM,KEGG,6,25,737,7481,2.9045028553026353,0.0310733234755947,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,KEGG,12,69,737,7481,1.9416193202223206,0.03558239527684171,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PANCREATIC_CANCER,KEGG,11,62,737,7481,1.9882102296540207,0.037903726617590484,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,KEGG,6,27,737,7481,2.627221606919411,0.043925694353013155,0.6839858120683476,Arterial,Spine_vs_HeadNeck,down,418,Arterial · Spine / Head-Neck · higher in 2nd
KEGG_PRION_DISEASES,KEGG,11,39,417,7481,6.803879382252843,5.734718372571964e-6,2.2365401653030658e-4,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_SPLICEOSOME,KEGG,11,65,417,7481,3.516110226396182,8.248266539071766e-4,0.0151510797680398,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,12,78,417,7481,3.1408314653071976,0.0011654676744646,0.0151510797680398,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_ENDOCYTOSIS,KEGG,13,125,417,7481,1.9971049178985212,0.02157405765456436,0.19923390266405844,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_FOLATE_BIOSYNTHESIS,KEGG,3,12,417,7481,5.6775458610721765,0.025951638977557794,0.19923390266405844,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_PPAR_SIGNALING_PATHWAY,KEGG,6,43,417,7481,2.771943323703074,0.030651369640624374,0.19923390266405844,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
HALLMARK_COMPLEMENT,Hallmark,17,198,417,7481,1.6160357330677293,0.04968006631201179,0.22622898918530707,Arterial,Spine_vs_HeadNeck,up,133,Arterial · Spine / Head-Neck · higher in 1st
KEGG_SPLICEOSOME,KEGG,26,65,1306,7481,3.1951573623292906,1.4269175151749717e-5,0.002411490600645702,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_PROTEASOME,KEGG,13,28,1306,7481,4.12779774462219,3.666623183748066e-4,0.01778922836258828,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
HALLMARK_HEME_METABOLISM,Hallmark,31,98,1306,7481,2.216254817760557,4.1754087545756966e-4,0.01778922836258828,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
HALLMARK_MYC_TARGETS_V1,Hallmark,37,125,1306,7481,2.0166227328761477,5.263085314375231e-4,0.01778922836258828,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_ENDOCYTOSIS,KEGG,37,125,1306,7481,2.0166227328761477,5.263085314375231e-4,0.01778922836258828,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,10,20,1306,7481,4.755554044552656,8.597898039879987e-4,0.024217412812328632,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,13,31,1306,7481,3.438289177800307,0.0012053916092336036,0.02910159742292557,Arterial,Spine_vs_Laparoscopic,down,915,Arterial · Spine / Laparoscopic · higher in 2nd
