AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast,draw
seq.14635.28,-0.23786532211267808,7.824473324025327,-0.8798261815212793,0.3964046143392461,0.6274018672263953,-5.561666181181272,Fc_MOUSE,,Laparoscopic_vs_HeadNeck,Arterial
seq.10562.42,-0.5813852521450436,8.947045564078307,-0.8797681967357283,0.3964347849724864,0.6274018672263953,-5.561714366385448,NETO2,NETO2,Laparoscopic_vs_HeadNeck,Arterial
seq.15453.3,0.29719342826388484,16.73014950917212,0.8794733268991191,0.39658823583305414,0.6275119695996357,-5.561959359749188,a1-Microglobulin,AMBP,Laparoscopic_vs_HeadNeck,Arterial
seq.20237.38,-0.6059086971702676,9.903445041750189,-0.8792191166274241,0.39672055989176,0.6275886040495362,-5.5621705137270565,OAT,OAT,Laparoscopic_vs_HeadNeck,Arterial
seq.3074.6,-0.36498379628010724,15.58741960879865,-0.878116016758752,0.3972951051969963,0.6283646262111479,-5.563086163932421,LBP,LBP,Laparoscopic_vs_HeadNeck,Arterial
seq.22001.23,0.23925821189077112,9.974122700842328,0.8777276316302716,0.39749752902651025,0.6285267803057489,-5.563408312962151,PADI2,PADI2,Laparoscopic_vs_HeadNeck,Arterial
seq.7910.41,0.1528180439220801,10.362093704230805,0.8773014133444031,0.39756566293367246,0.6285267803057489,-5.563913853968838,LRFN1,LRFN1,Laparoscopic_vs_HeadNeck,Arterial
seq.3822.54,-0.41037991467370816,13.747865910822348,-0.8771752605094467,0.3977855423380029,0.6287415259308261,-5.563866267998397,MAPKAPK3,MAPKAPK3,Laparoscopic_vs_HeadNeck,Arterial
seq.16809.1,-0.4427732666764026,11.793954081114125,-0.8768341249101138,0.39796348576175766,0.6288899106429466,-5.564148968509913,NDKM,NME4,Laparoscopic_vs_HeadNeck,Arterial
seq.21189.9,-0.33618060161582974,11.130215501656897,-0.8763247393031033,0.3982292927918284,0.6291770516104896,-5.564570920491536,NUBP1,NUBP1,Laparoscopic_vs_HeadNeck,Arterial
seq.17327.3,-0.27545507286846416,10.722477229737036,-0.8751463359318177,0.39884466910864536,0.6298714084718797,-5.5655462390019395,CNPY3,CNPY3,Laparoscopic_vs_HeadNeck,Arterial
seq.3216.2,-0.40677454654960243,10.963334602276774,-0.8750407885802591,0.3988998187542052,0.6298714084718797,-5.56563354071007,PIGR,PIGR,Laparoscopic_vs_HeadNeck,Arterial
seq.9898.161,-0.20174842609617905,9.53870996533808,-0.8749256885345612,0.3989599657006728,0.6298714084718797,-5.565728733323623,ARI1A,ARID1A,Laparoscopic_vs_HeadNeck,Arterial
seq.6963.82,0.3305157052626555,9.380398613810303,0.8746926341814785,0.3990817700165886,0.6298714084718797,-5.5659214457760235,SELPL,SELPLG,Laparoscopic_vs_HeadNeck,Arterial
seq.11429.80,0.15758227371072486,9.834624562451712,0.8743836512740369,0.399089757539996,0.6298714084718797,-5.566328752457036,hnRNP C1/C2,HNRNPC,Laparoscopic_vs_HeadNeck,Arterial
seq.20139.57,-0.46618229896755814,11.248615987305401,-0.874481420321638,0.39919218139256984,0.6299001706386448,-5.5660960597473785,SH3G2,SH3GL2,Laparoscopic_vs_HeadNeck,Arterial
seq.24694.158,-0.4024139232931834,13.714297703956737,-0.873775624250681,0.3995612847496379,0.6303496354306287,-5.566679286711547,NHERF,SLC9A3R1,Laparoscopic_vs_HeadNeck,Arterial
seq.23404.16,-0.2336771145512344,9.273888805175737,-0.8734263349803709,0.39974403499040234,0.6305049811855787,-5.5669677664933666,MD2L2,MAD2L2,Laparoscopic_vs_HeadNeck,Arterial
seq.3350.53,-0.2468888031648966,10.214086713553014,-0.8728005617819512,0.4000715853339164,0.6308886024205372,-5.567484344628219,CAMK2A,CAMK2A,Laparoscopic_vs_HeadNeck,Arterial
seq.8396.42,0.590325387607848,9.586624383127909,0.8725931827733082,0.4001801745736223,0.6309268463614898,-5.567655465658246,FAAH2,FAAH2,Laparoscopic_vs_HeadNeck,Arterial
seq.22841.16,-0.3886981487648402,11.806648081433984,-0.8720696664633861,0.40045439089984713,0.6311552465418024,-5.568087293254806,ZN696,ZNF696,Laparoscopic_vs_HeadNeck,Arterial
seq.23408.1,-0.24428858451634738,9.038595707752565,-0.8719944905870117,0.4004937782828414,0.6311552465418024,-5.568149284285276,Sorting nexin 16,SNX16,Laparoscopic_vs_HeadNeck,Arterial
seq.13932.45,0.1922545001904865,10.380844579869985,0.8710606490104658,0.40083035912054443,0.631552636179611,-5.569070508399458,COOL-1,ARHGEF7,Laparoscopic_vs_HeadNeck,Arterial
seq.20545.17,0.2858804895681679,9.13693020605561,0.8711362168024173,0.40094364569836305,0.6315981077004535,-5.568856698317816,MFAP3,MFAP3,Laparoscopic_vs_HeadNeck,Arterial
seq.8005.1,-0.5122907915176071,9.79413252610479,-0.8709705871440735,0.4010305005763054,0.6316019315392296,-5.568993145202057,MXRA7,MXRA7,Laparoscopic_vs_HeadNeck,Arterial
seq.20538.71,-0.47997943344669025,8.649771339302932,-0.8700301062081496,0.4015239234238558,0.6322459421456251,-5.569767491377414,SIG11,SIGLEC11,Laparoscopic_vs_HeadNeck,Arterial
seq.21129.95,-0.2758027913594603,11.183577135016442,-0.8694524260327468,0.40175836024429923,0.6324819640125425,-5.5703110605761506,MD2BP,MAD2L1BP,Laparoscopic_vs_HeadNeck,Arterial
seq.8043.153,0.2942052643860844,9.472874241302575,0.8693364374671496,0.40188812017982245,0.6325531300368717,-5.570338157174626,COMP,COMP,Laparoscopic_vs_HeadNeck,Arterial
