AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,TargetFullName,EntrezGeneSymbol,EntrezGeneID,UniProt,Dilution,direction,sig_nom,sig_fdr
seq.12735.39,0.21442911864062097,8.94854567755324,2.259484172581546,0.04104871179392607,0.496651307527927,-3.7396217323426635,CSDE1,Cold shock domain-containing protein E1,CSDE1,7812,O75534,20,Arterial > Venous,TRUE,FALSE
seq.21105.23,0.24071013164717656,9.370277402798358,2.2577044159824453,0.04118526184182606,0.496651307527927,-3.7412823024918622,U119B,Protein unc-119 homolog B,UNC119B,84747,A6NIH7,20,Arterial > Venous,TRUE,FALSE
seq.15607.56,-0.5372733425248505,13.853433452501365,-2.2572111498004026,0.0412231829131217,0.496651307527927,-3.7417424912916646,KPYR,Pyruvate kinase PKLR,PKLR,5313,P30613,20,Venous > Arterial,TRUE,FALSE
seq.11219.95,-0.1602811010512001,9.995813772795834,-2.2539551160752294,0.04128394977103057,0.496651307527927,-3.742926343421442,FGFP3,Fibroblast growth factor-binding protein 3,FGFBP3,143282,Q8TAT2,20,Venous > Arterial,TRUE,FALSE
seq.23640.10,-0.5478628074362929,13.312056697338639,-2.256057355116713,0.041312012327336375,0.496651307527927,-3.7428188393994404,EHD2,EH domain-containing protein 2,EHD2,30846,Q9NZN4,20,Venous > Arterial,TRUE,FALSE
seq.13389.8,0.1766199135802702,10.845795429216643,2.252502110464602,0.041329339924386005,0.496651307527927,-3.7436341241123388,Fc_MOUSE,Fc_MOUSE,,,Q99LC4,0.5,Arterial > Venous,TRUE,FALSE
seq.8852.10,-0.14971868988779985,10.686764038713784,-2.2524429435609563,0.04133003025027154,0.496651307527927,-3.743651667516408,SUN3,SUN domain-containing protein 3,SUN3,256979,Q8TAQ9,20,Venous > Arterial,TRUE,FALSE
seq.9100.32,0.14854698756170642,10.594407515568669,2.251466299707819,0.04140567376651381,0.496651307527927,-3.744566745131401,CE046,Uncharacterized protein C5orf46,C5orf46,389336,Q6UWT4,20,Arterial > Venous,TRUE,FALSE
seq.23322.2,0.32069969840308954,12.506715587934622,2.2508030226154574,0.041718823779291,0.496651307527927,-3.7477191348139325,MUSC,Musculin,MSC,9242,O60682,0.5,Arterial > Venous,TRUE,FALSE
seq.5988.49,0.1877154500533463,9.038645193083406,2.2490512118112735,0.0418552928166421,0.496651307527927,-3.7493524126564997,LIGHT,Tumor necrosis factor ligand superfamily member 14,TNFSF14,8740,O43557,20,Arterial > Venous,TRUE,FALSE
seq.11243.90,0.250070815564913,11.20438823120468,2.248973752655106,0.04186133671303815,0.496651307527927,-3.7494246249174212,GPR110,Adhesion G-protein coupled receptor F1,ADGRF1,266977,Q5T601,0.5,Arterial > Venous,TRUE,FALSE
seq.18415.16,0.36225105612135217,11.028309866505836,2.2489506135657025,0.04186314234347255,0.496651307527927,-3.749446196526123,ARL6,ADP-ribosylation factor-like protein 6,ARL6,84100,Q9H0F7,0.5,Arterial > Venous,TRUE,FALSE
seq.9970.7,0.42502706464553175,9.897938660227945,2.2479395795508617,0.04194210880423774,0.496651307527927,-3.7503886987050867,UBXN4,UBX domain-containing protein 4,UBXN4,23190,Q92575,0.5,Arterial > Venous,TRUE,FALSE
seq.12348.46,0.23362548447694123,10.85677912132247,2.247124520291167,0.04200587083328193,0.496651307527927,-3.7511484491665126,SYSM,"Serine--tRNA ligase, mitochondrial",SARS2,54938,Q9NP81,20,Arterial > Venous,TRUE,FALSE
seq.17692.2,-0.1560787580244877,9.066899366631917,-2.2457461017539027,0.04202219244424041,0.496651307527927,-3.7515590675263657,BT3A3,Butyrophilin subfamily 3 member A3,BTN3A3,10384,O00478,20,Venous > Arterial,TRUE,FALSE
seq.12781.2,0.16025757831894227,9.432404714739109,2.241047985244659,0.04235655556082398,0.496651307527927,-3.7556082802482216,TRBP2,RISC-loading complex subunit TARBP2,TARBP2,6895,Q15633,20,Arterial > Venous,TRUE,FALSE
seq.16907.3,-0.19646749204898512,9.592312066042053,-2.2421063911343193,0.042400454013856004,0.496651307527927,-3.7558248487110832,Nectin-like protein 3,Cell adhesion molecule 2,CADM2,253559,Q8N3J6,20,Venous > Arterial,TRUE,FALSE
seq.15515.2,-0.155552657030141,13.502795436484577,-2.2349647744237386,0.04270361225519622,0.496651307527927,-3.760015582160416,SAA,Serum amyloid A-1 protein,SAA1,6288,P0DJI8,0.5,Venous > Arterial,TRUE,FALSE
