AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,UniProt,covariate,draw,n_pos,n_neg
seq.11101.18,1.0237137661236926,7.762327856573129,5.294878189015762,1.5834607934750385e-4,0.3031545362125489,0.03407500459696866,TLR4,TLR4,O00206,male,Arterial,4,8
seq.11242.33,0.760317794687493,8.03122396561465,5.259907592170741,1.6209305505282656e-4,0.3031545362125489,0.026213972047119505,TGM1,TGM1,P22735,male,Arterial,4,8
seq.5763.67,0.5380799504563276,8.68607656489736,4.927078982839157,2.889197706794622e-4,0.41458380202930795,-0.31321649751708325,HBD-4,DEFB104A,Q8WTQ1,male,Arterial,4,8
seq.24695.8,0.814766710099946,8.302114459322388,4.667826367238994,4.6929943768047103e-4,0.41458380202930795,-0.60949579869889,PKHB1,PLEKHB1,Q9UF11,male,Arterial,4,8
seq.20544.103,0.9066170699042889,6.931876163887371,4.606674905127972,5.254361246207815e-4,0.41458380202930795,-0.6791993266357039,GRIK2,GRIK2,Q13002,male,Arterial,4,8
seq.15395.15,0.8212253651863016,9.511613658156564,4.514792766343458,6.069020152770541e-4,0.41458380202930795,-0.7663358329716257,GST M1-1,GSTM1,P09488,male,Arterial,4,8
seq.7975.97,0.5749320024473022,7.845320625364916,4.455378268214981,6.719374350330316e-4,0.41458380202930795,-0.8292676615401922,UNC5A,UNC5A,Q6ZN44,male,Arterial,4,8
seq.6580.29,-3.9272157599424076,12.555690306395407,-4.467589800505215,6.745840522980242e-4,0.41458380202930795,-0.8339343459381316,Pregnancy zone protein,PZP,P20742,male,Arterial,4,8
seq.21232.39,2.2546542689670677,9.415071773310364,4.430398234178725,7.214830657369331e-4,0.41458380202930795,-0.8759007270362851,BPSA,KLK3,P07288,male,Arterial,4,8
seq.3471.49,-0.6671061745004051,10.414275184644291,-4.3245211974596405,8.533141208318018e-4,0.41458380202930795,-0.9795401003991335,STK16,STK16,O75716,male,Arterial,4,8
seq.7083.74,1.338432335304181,9.329940941967676,4.308926426913255,8.996116006158936e-4,0.41458380202930795,-1.0146758095444364,MATN4,MATN4,O95460,male,Arterial,4,8
seq.23664.17,0.8086242215927125,8.995147520850233,4.109859854321058,0.0012961202068447878,0.41458380202930795,-1.2476174039961059,RTKN,RTKN,Q9BST9,male,Arterial,4,8
seq.21911.17,-1.0015100088156026,9.64863534568639,-4.0563829286735045,0.0014307262968923328,0.41458380202930795,-1.3113257399910303,NDP,NDP,Q00604,male,Arterial,4,8
seq.7104.71,0.7749520309959491,9.668643882438987,4.043963413539635,0.0014456514153872912,0.41458380202930795,-1.3174973923382325,CABP7,CABP7,Q86V35,male,Arterial,4,8
seq.21331.19,-0.891032051805361,10.019748474991374,-4.023551857532458,0.0015130995798497138,0.41458380202930795,-1.3473508526256506,BCL7A,BCL7A,Q4VC05,male,Arterial,4,8
seq.7926.13,0.7908873481851783,8.655803455475278,4.0090815035184635,0.0015617621052859355,0.41458380202930795,-1.3680639388541618,SPIT3,SPINT3,P49223,male,Arterial,4,8
seq.10701.30,2.3233053657311102,11.203042208230016,3.9160949913674594,0.0018565175088518652,0.41458380202930795,-1.4806346595394317,Fc_MOUSE,,Q99LC4,male,Arterial,4,8
seq.7147.35,-1.6796013517016435,11.735362732952096,-3.899018630195018,0.0019165707675826479,0.41458380202930795,-1.5014531455567233,WFDC8,WFDC8,Q8IUA0,male,Arterial,4,8
seq.15560.52,-7.0918679529921125,13.730398543917213,-5.928168297763472,5.474179374709153e-5,0.18791142668459132,1.4747014880730456,Apo-TC II,TCN2,P20062,obese,Arterial,4,8
seq.13748.4,-1.2410726100354128,7.719583240416135,-5.917351682745687,5.570537209407734e-5,0.18791142668459132,1.4625288893292767,MCP-2,CCL8,P80075,obese,Arterial,4,8
seq.21734.36,-1.574439683066662,10.166145643965498,-5.580675314817773,9.667708633210245e-5,0.18791142668459132,1.072865837966952,C1GLT/C1GLC Complex,C1GALT1|C1GALT1C1,Q9NS00|Q96EU7,obese,Arterial,4,8
seq.9910.9,1.0388423755769318,9.79679169274043,5.545265671885035,1.0047396160117167e-4,0.18791142668459132,1.0467665295651747,MTAP,MTAP,Q13126,obese,Arterial,4,8
seq.5741.55,3.740979847663749,11.144900409553342,5.231364250865823,1.7418154626397425e-4,0.2233574661606897,0.6463285538745893,ECP,RNASE3,P12724,obese,Arterial,4,8
seq.23523.14,1.5266029757346482,11.35299751398005,5.211657905279378,1.7913979373935813e-4,0.2233574661606897,0.6259973098142817,FA49A,CYRIA,Q9H0Q0,obese,Arterial,4,8
seq.2836.68,2.065481440632315,10.694039883668532,5.083680109607075,2.2454457647396941e-4,0.23601295426998353,0.45917409028730116,Lipocalin 2,LCN2,P80188,obese,Arterial,4,8
seq.17766.5,3.026117076944704,11.380108663465137,5.016285376765529,2.5238653043174286e-4,0.23601295426998353,0.37242971721635687,NCF-1,NCF1,P14598,obese,Arterial,4,8
seq.7893.19,1.9831129001344248,10.969990304883915,4.791677284276687,3.7424184386207124e-4,0.2895601968847548,0.07735236781268906,OLR1,OLR1,P78380,obese,Arterial,4,8
seq.21533.51,1.1912847744982034,10.147043326092186,4.7507387435506025,4.0238887370901534e-4,0.2895601968847548,0.022590156384745264,LSP1,LSP1,P33241,obese,Arterial,4,8
seq.5879.51,0.62774054111941,9.7504821922153,4.652547610603496,4.6698638966632163e-4,0.2895601968847548,-0.090305874251146,Dynactin subunit 2,DCTN2,Q13561,obese,Arterial,4,8
seq.3329.14,2.3112215124655107,10.730669141490525,4.516439523854939,6.118848968043613e-4,0.2895601968847548,-0.2964880752948691,PGRP-S,PGLYRP1,O75594,obese,Arterial,4,8
seq.13130.150,1.5851214510313856,10.897167840818838,4.501043050113435,6.291215515488582e-4,0.2895601968847548,-0.31778679346818794,HXK2,HK2,P52789,obese,Arterial,4,8
seq.24457.12,0.683898718807364,9.62525134565548,4.471847435812649,6.475338378279555e-4,0.2895601968847548,-0.34037833103221615,USF2,USF2,Q15853,obese,Arterial,4,8
seq.11205.10,2.437307232837122,13.14063152545618,4.4404529418176155,7.019947123871034e-4,0.2895601968847548,-0.40199119800747507,Integrin beta-7,ITGB7,P26010,obese,Arterial,4,8
seq.23620.16,2.0191846051518985,10.596641023686201,4.411922338882917,7.39286857299435e-4,0.2895601968847548,-0.44185300694718066,CPZIP,RCSD1,Q6JBY9,obese,Arterial,4,8
seq.3437.80,0.8123263507726687,9.988800309491074,4.326796260151449,8.490265120396583e-4,0.2895601968847548,-0.5492947820553962,Flt-3,FLT3,P36888,obese,Arterial,4,8
seq.3810.50,1.7436775302591245,10.301226023739785,4.326136517094617,8.642734828370579e-4,0.2895601968847548,-0.5625120889199771,FGR,FGR,P09769,obese,Arterial,4,8
seq.23649.6,0.7809457118372478,9.332848699068991,4.283580956690586,9.304664721747881e-4,0.2895601968847548,-0.6198553335583803,KLHL2,KLHL2,O95198,obese,Arterial,4,8
seq.5867.60,1.718346253496608,10.865376923114278,4.2629678643062086,9.701443600128537e-4,0.2895601968847548,-0.6521149482568438,ARGI1,ARG1,P05089,obese,Arterial,4,8
